,Rank,Word,Part of speech,Frequency,Dispersion,Know
163,164,begin,v,218617.0,0.98,
164,165,seem,v,219627.0,0.97,
165,166,country,n,223138.0,0.95,
166,167,help,v,216082.0,0.98,
167,168,talk,v,229429.0,0.92,
168,169,where,c,213744.0,0.98,
169,170,turn,v,221392.0,0.94,
170,171,problem,n,217728.0,0.96,
171,172,every,a,212739.0,0.97,
172,173,start,v,213952.0,0.96,
173,174,hand,n,225247.0,0.91,
174,175,might,v,209059.0,0.98,
175,176,American,j,214968.0,0.95,
176,177,show,v,208037.0,0.98,
177,178,part,n,207861.0,0.98,
178,179,about,r,208550.0,0.97,
179,180,against,i,204379.0,0.98,1.0
180,181,place,n,202427.0,0.98,
181,182,over,r,208260.0,0.95,
182,183,such,d,207065.0,0.95,
183,184,again,r,206895.0,0.94,
184,185,few,d,197266.0,0.97,
185,186,case,n,200773.0,0.95,
186,187,most,d,197086.0,0.96,
187,188,week,n,199268.0,0.95,
188,189,company,n,203345.0,0.93,
189,190,where,r,194427.0,0.96,
190,191,system,n,200175.0,0.94,
191,192,each,d,196522.0,0.95,
192,193,right,r,205250.0,0.9,
193,194,program,n,195985.0,0.93,
194,195,hear,v,196070.0,0.93,
195,196,so,c,191893.0,0.95,
196,197,question,n,192070.0,0.95,
197,198,during,i,190729.0,0.95,
198,199,work,n,187533.0,0.97,
199,200,play,v,188328.0,0.96,
200,201,government,n,191314.0,0.94,
201,202,run,v,187325.0,0.96,
202,203,small,j,185463.0,0.97,
203,204,number,n,186005.0,0.96,
204,205,off,r,183854.0,0.95,
205,206,always,r,179474.0,0.97,
206,207,move,v,179388.0,0.97,
207,208,like,v,182341.0,0.95,
208,209,night,n,184511.0,0.93,
209,210,live,v,176144.0,0.98,
210,211,Mr,n,188555.0,0.91,
211,212,point,n,177481.0,0.97,
212,213,believe,v,178397.0,0.96,
213,214,hold,v,177368.0,0.97,
214,215,today,r,183724.0,0.93,
215,216,bring,v,174366.0,0.98,
216,217,happen,v,182714.0,0.93,
217,218,next,m,176306.0,0.96,
218,219,without,i,172448.0,0.98,
219,220,before,i,172769.0,0.98,
220,221,large,j,175611.0,0.96,
221,222,all,r,177317.0,0.93,
222,223,million,m,176895.0,0.93,
223,224,must,v,171043.0,0.96,
224,225,home,n,170527.0,0.96,
225,226,under,i,164766.0,0.98,
226,227,water,n,167666.0,0.96,
227,228,room,n,172472.0,0.92,
228,229,write,v,161824.0,0.98,
229,230,mother,n,169407.0,0.93,
230,231,area,n,165812.0,0.95,1.0
231,232,national,j,166359.0,0.95,
232,233,money,n,164794.0,0.95,
233,234,story,n,163582.0,0.96,
234,235,young,j,160011.0,0.98,
235,236,fact,n,164401.0,0.95,
236,237,month,n,162685.0,0.96,
237,238,different,j,162411.0,0.96,
238,239,lot,n,169570.0,0.92,
239,240,right,n,163259.0,0.95,
240,241,study,n,174069.0,0.88,
241,242,book,n,154013.0,0.98,
242,243,eye,n,169150.0,0.89,
243,244,job,n,154743.0,0.96,
244,245,word,n,152891.0,0.97,
245,246,though,c,152182.0,0.97,
246,247,business,n,154468.0,0.95,
247,248,issue,n,156417.0,0.94,
248,249,side,n,152559.0,0.96,
249,250,kind,n,155032.0,0.95,
250,251,four,m,150646.0,0.97,
251,252,head,n,160131.0,0.91,
252,253,far,r,148621.0,0.98,
253,254,black,j,150718.0,0.96,
254,255,long,j,149050.0,0.97,
255,256,both,d,146338.0,0.97,
256,257,little,j,149658.0,0.94,
257,258,house,n,149251.0,0.94,
258,259,yes,u,157364.0,0.89,
259,260,after,c,142289.0,0.98,
260,261,since,c,141264.0,0.98,
261,262,long,r,142007.0,0.97,
262,263,provide,v,150879.0,0.91,
263,264,service,n,146122.0,0.94,1.0
264,265,around,i,143766.0,0.96,
265,266,friend,n,142697.0,0.96,
266,267,important,j,144194.0,0.95,
267,268,father,n,145051.0,0.93,
268,269,sit,v,147185.0,0.92,
269,270,away,r,144713.0,0.93,
270,271,until,c,140819.0,0.96,
271,272,power,n,141357.0,0.95,
272,273,hour,n,138955.0,0.96,1.0
273,274,game,n,146311.0,0.92,
274,275,often,r,140731.0,0.95,
275,276,yet,r,135484.0,0.98,
276,277,line,n,135986.0,0.98,
277,278,political,j,144437.0,0.92,1.0
278,279,end,n,134104.0,0.98,
279,280,among,i,138192.0,0.94,1.0
280,281,ever,r,135774.0,0.96,
281,282,stand,v,140937.0,0.92,
282,283,bad,j,134910.0,0.96,
283,284,lose,v,134102.0,0.97,
284,285,however,r,142282.0,0.91,
285,286,member,n,134731.0,0.95,
286,287,pay,v,133133.0,0.96,
287,288,law,n,133706.0,0.95,1.0
288,289,meet,v,128737.0,0.98,
289,290,car,n,133571.0,0.94,
290,291,city,n,132684.0,0.95,
291,292,almost,r,127907.0,0.98,
292,293,include,v,133563.0,0.93,1.0
293,294,continue,v,126029.0,0.98,
294,295,set,v,127369.0,0.97,
295,296,later,r,126495.0,0.98,
296,297,community,n,133057.0,0.93,1.0
297,298,much,r,126029.0,0.98,
298,299,name,n,127139.0,0.97,
299,300,five,m,125571.0,0.97,
300,301,once,r,126203.0,0.97,1.0
301,302,white,j,126760.0,0.96,1.0
302,303,least,r,123961.0,0.98,1.0
303,304,president,n,134203.0,0.9,1.0
304,305,learn,v,124346.0,0.97,
305,306,real,j,124187.0,0.97,
306,307,change,v,123183.0,0.98,
307,308,team,n,131489.0,0.92,
308,309,minute,n,126660.0,0.95,
309,310,best,j,124850.0,0.96,
310,311,several,d,124039.0,0.97,1.0
311,312,idea,n,122140.0,0.98,
312,313,kid,n,126428.0,0.95,
313,314,body,n,125165.0,0.96,
314,315,information,n,127331.0,0.94,1.0
315,316,nothing,p,126717.0,0.94,
316,317,ago,r,125252.0,0.95,
317,318,right,j,126278.0,0.94,
318,319,lead,v,122691.0,0.97,1.0
319,320,social,j,132899.0,0.89,1.0
320,321,understand,v,121354.0,0.97,
321,322,whether,c,121921.0,0.96,1.0
322,323,back,n,125006.0,0.94,
323,324,watch,v,124976.0,0.94,
324,325,together,r,119186.0,0.98,
325,326,follow,v,119425.0,0.97,
326,327,around,r,122789.0,0.94,
327,328,parent,n,119610.0,0.97,
328,329,only,j,117700.0,0.98,
329,330,stop,v,121481.0,0.94,
330,331,face,n,127291.0,0.89,
331,332,anything,p,120292.0,0.94,
332,333,create,v,119419.0,0.95,
333,334,public,j,119825.0,0.95,
334,335,already,r,115220.0,0.98,
335,336,speak,v,117358.0,0.96,
336,337,others,n,115771.0,0.97,
337,338,read,v,114094.0,0.97,
338,339,level,n,121704.0,0.91,
339,340,allow,v,114892.0,0.97,
340,341,add,v,117842.0,0.94,
341,342,office,n,114791.0,0.97,
342,343,spend,v,114569.0,0.97,
343,344,door,n,124993.0,0.88,
344,345,health,n,117762.0,0.94,
345,346,person,n,113650.0,0.97,
346,347,art,n,117851.0,0.93,
347,348,sure,j,116186.0,0.94,
348,349,such,i,119125.0,0.92,
349,350,war,n,117804.0,0.93,
350,351,history,n,114904.0,0.95,
351,352,party,n,112962.0,0.96,
352,353,within,i,114599.0,0.93,
353,354,grow,v,110020.0,0.97,
354,355,result,n,116277.0,0.92,
355,356,open,v,111857.0,0.94,
356,357,change,n,112426.0,0.94,
357,358,morning,n,114002.0,0.92,
358,359,walk,v,113787.0,0.92,
359,360,reason,n,106863.0,0.97,
360,361,low,j,108990.0,0.95,
361,362,win,v,111478.0,0.93,
362,363,research,n,114802.0,0.9,1.0
363,364,girl,n,110409.0,0.93,
364,365,guy,n,110409.0,0.93,
365,366,early,j,108171.0,0.95,
366,367,food,n,107728.0,0.96,
367,368,before,c,107448.0,0.96,
368,369,moment,n,109720.0,0.94,
369,370,himself,p,109288.0,0.94,
370,371,air,n,105932.0,0.96,
371,372,teacher,n,116100.0,0.88,
372,373,force,n,108005.0,0.95,
373,374,offer,v,106473.0,0.96,
374,375,enough,r,105880.0,0.96,
375,376,both,r,106361.0,0.95,
376,377,education,n,113731.0,0.89,
377,378,across,i,105559.0,0.96,1.0
378,379,although,c,107925.0,0.93,
379,380,remember,v,106879.0,0.94,
380,381,foot,n,107285.0,0.94,
381,382,second,m,103621.0,0.97,
382,383,boy,n,107447.0,0.93,
383,384,maybe,r,108421.0,0.92,
384,385,toward,i,105984.0,0.94,1.0
385,386,able,j,103171.0,0.97,
386,387,age,n,103402.0,0.96,
387,388,off,i,104122.0,0.95,
388,389,policy,n,107601.0,0.92,1.0
389,390,everything,p,103591.0,0.95,
390,391,love,v,103681.0,0.95,
391,392,process,n,107341.0,0.91,1.0
392,393,music,n,102657.0,0.95,
393,394,including,i,103650.0,0.94,1.0
394,395,consider,v,101987.0,0.96,1.0
395,396,appear,v,100671.0,0.97,1.0
396,397,actually,r,105155.0,0.92,1.0
397,398,buy,v,101105.0,0.95,
398,399,probably,r,99754.0,0.96,
399,400,human,j,101224.0,0.94,
400,401,wait,v,102463.0,0.93,
401,402,serve,v,99660.0,0.95,1.0
402,403,market,n,100435.0,0.94,
403,404,die,v,98376.0,0.96,
404,405,send,v,96613.0,0.97,1.0
405,406,expect,v,95566.0,0.98,1.0
406,407,home,r,97937.0,0.95,
407,408,sense,n,95896.0,0.97,1.0
408,409,build,v,96651.0,0.96,
409,410,stay,v,96933.0,0.96,
410,411,fall,v,96908.0,0.95,1.0
411,412,oh,u,103613.0,0.89,
412,413,nation,n,97212.0,0.95,1.0
413,414,plan,n,95824.0,0.96,
414,415,cut,v,96012.0,0.95,
415,416,college,n,97038.0,0.94,
416,417,interest,n,96620.0,0.95,
417,418,death,n,93222.0,0.98,
418,419,course,r,96224.0,0.95,1.0
419,420,someone,p,95608.0,0.95,
420,421,experience,n,98106.0,0.93,
421,422,behind,i,95047.0,0.93,1.0
422,423,reach,v,92375.0,0.96,
423,424,local,j,92970.0,0.95,1.0
424,425,kill,v,92660.0,0.95,
425,426,six,m,90571.0,0.97,
426,427,remain,v,91319.0,0.96,1.0
427,428,effect,n,95216.0,0.92,1.0
428,429,use,n,96564.0,0.9,
429,430,yeah,u,103389.0,0.84,
430,431,suggest,v,92643.0,0.93,
431,432,class,n,91323.0,0.94,
432,433,control,n,90301.0,0.94,1.0
433,434,raise,v,87036.0,0.98,1.0
434,435,care,n,88862.0,0.96,
435,436,perhaps,r,87060.0,0.98,
436,437,little,r,88697.0,0.95,
437,438,late,j,86421.0,0.98,
438,439,hard,j,86817.0,0.97,
439,440,field,n,87243.0,0.96,1.0
440,441,else,r,87876.0,0.95,
441,442,pass,v,86184.0,0.97,
442,443,former,d,88930.0,0.94,1.0
443,444,sell,v,87865.0,0.95,1.0
444,445,major,j,87487.0,0.95,1.0
445,446,sometimes,r,84845.0,0.98,
446,447,require,v,89280.0,0.93,1.0
447,448,along,i,84926.0,0.97,1.0
448,449,development,n,91995.0,0.9,1.0
449,450,themselves,p,85256.0,0.97,
450,451,report,v,88138.0,0.93,1.0
451,452,role,n,88666.0,0.92,1.0
452,453,better,j,83895.0,0.98,
453,454,economic,j,90392.0,0.91,1.0
454,455,effort,n,86473.0,0.95,1.0
455,456,up,i,85759.0,0.95,
456,457,decide,v,84035.0,0.97,1.0
457,458,rate,n,87224.0,0.94,1.0
458,459,strong,j,83677.0,0.98,
459,460,possible,j,85084.0,0.96,1.0
460,461,heart,n,84536.0,0.96,
461,462,drug,n,86231.0,0.94,1.0
462,463,show,n,86828.0,0.94,
463,464,leader,n,85438.0,0.95,
464,465,light,n,87427.0,0.93,
465,466,voice,n,89379.0,0.9,1.0
466,467,wife,n,83601.0,0.96,
467,468,whole,j,83756.0,0.96,1.0
468,469,police,n,85880.0,0.93,
469,470,mind,n,82808.0,0.96,
470,471,finally,r,81951.0,0.97,
471,472,pull,v,87243.0,0.91,1.0
472,473,return,v,81812.0,0.97,
473,474,free,j,82090.0,0.97,
474,475,military,j,85152.0,0.93,1.0
475,476,price,n,84443.0,0.94,
476,477,report,n,83174.0,0.95,1.0
477,478,less,r,82930.0,0.95,
478,479,according,i,83773.0,0.94,
479,480,decision,n,82429.0,0.95,1.0
480,481,explain,v,80797.0,0.97,1.0
481,482,son,n,80895.0,0.97,
482,483,hope,v,81385.0,0.96,
483,484,even,c,79087.0,0.98,
484,485,develop,v,84835.0,0.92,1.0
485,486,view,n,81338.0,0.96,
486,487,relationship,n,84549.0,0.92,1.0
487,488,carry,v,79513.0,0.97,1.0
488,489,town,n,79821.0,0.97,1.0
489,490,road,n,80987.0,0.95,
490,491,drive,v,80476.0,0.96,
491,492,arm,n,84865.0,0.91,
492,493,TRUE,j,79299.0,0.97,
493,494,federal,j,81826.0,0.94,1.0
494,495,break,v,79310.0,0.97,1.0
495,496,better,r,78334.0,0.98,
496,497,difference,n,82911.0,0.92,
497,498,thank,v,88574.0,0.86,
498,499,receive,v,80250.0,0.95,1.0
499,500,value,n,82942.0,0.92,
500,501,international,j,81610.0,0.93,1.0
501,502,building,n,78487.0,0.97,
502,503,action,n,80009.0,0.95,
503,504,full,j,77547.0,0.97,1.0
504,505,model,n,82973.0,0.91,
505,506,join,v,80609.0,0.93,
506,507,season,n,83743.0,0.89,1.0
507,508,society,n,81192.0,0.92,1.0
508,509,because,i,77116.0,0.97,
509,510,tax,n,80713.0,0.92,
510,511,director,n,79813.0,0.93,1.0
511,512,early,r,75605.0,0.98,
512,513,position,n,77124.0,0.96,1.0
513,514,player,n,81358.0,0.91,
514,515,agree,v,76753.0,0.96,
515,516,especially,r,76304.0,0.96,1.0
516,517,record,n,77509.0,0.94,1.0
517,518,pick,v,77197.0,0.95,1.0
518,519,wear,v,77921.0,0.94,
519,520,paper,n,75383.0,0.97,
520,521,special,j,75298.0,0.97,1.0
521,522,space,n,75395.0,0.96,
522,523,ground,n,74713.0,0.97,1.0
523,524,form,n,78493.0,0.92,1.0
524,525,support,v,76544.0,0.94,1.0
525,526,event,n,75559.0,0.95,1.0
526,527,official,n,79026.0,0.91,1.0
527,528,whose,d,74914.0,0.96,
528,529,matter,n,73842.0,0.97,
529,530,everyone,p,74534.0,0.96,
530,531,center,n,74559.0,0.96,1.0
531,532,couple,n,74871.0,0.96,1.0
532,533,site,n,75932.0,0.94,
533,534,end,v,73099.0,0.97,
534,535,project,n,75446.0,0.94,
535,536,hit,v,73999.0,0.95,
536,537,base,v,75887.0,0.93,1.0
537,538,activity,n,77980.0,0.9,1.0
538,539,star,n,73695.0,0.95,
539,540,table,n,75228.0,0.93,
540,541,need,n,74877.0,0.93,
541,542,court,n,74112.0,0.94,1.0
542,543,produce,v,74169.0,0.94,1.0
543,544,eat,v,73505.0,0.95,
544,545,American,n,73063.0,0.95,
545,546,teach,v,72668.0,0.95,
546,547,oil,n,74386.0,0.93,
547,548,half,d,70930.0,0.97,
548,549,situation,n,72603.0,0.95,
549,550,easy,j,71602.0,0.96,
550,551,cost,n,73512.0,0.94,1.0
551,552,industry,n,73055.0,0.94,1.0
552,553,figure,n,74858.0,0.92,1.0
553,554,face,v,69493.0,0.98,
554,555,street,n,71645.0,0.95,
555,556,image,n,72216.0,0.94,
556,557,itself,p,71093.0,0.96,
557,558,phone,n,71599.0,0.95,
558,559,either,r,69497.0,0.97,
559,560,data,n,76594.0,0.88,
560,561,cover,v,69387.0,0.97,
561,562,quite,r,69966.0,0.96,1.0
562,563,picture,n,69229.0,0.97,
563,564,clear,j,68662.0,0.98,
564,565,practice,n,73745.0,0.91,
565,566,piece,n,68901.0,0.97,
566,567,land,n,69750.0,0.96,
567,568,recent,j,70685.0,0.94,1.0
568,569,describe,v,71377.0,0.93,
569,570,product,n,70883.0,0.94,
570,571,doctor,n,69446.0,0.95,
571,572,wall,n,71390.0,0.93,
572,573,patient,n,72217.0,0.91,1.0
573,574,worker,n,69962.0,0.94,
574,575,news,n,70051.0,0.94,
575,576,test,n,69870.0,0.94,
576,577,movie,n,69387.0,0.94,
577,578,certain,j,67228.0,0.97,1.0
578,579,north,n,68046.0,0.96,
579,580,love,n,67495.0,0.96,
580,581,personal,j,67917.0,0.96,
581,582,open,j,67218.0,0.97,
582,583,support,n,69431.0,0.93,
583,584,simply,r,66712.0,0.97,1.0
584,585,third,m,67037.0,0.97,
585,586,technology,n,69565.0,0.93,
586,587,catch,v,68214.0,0.94,
587,588,step,n,66232.0,0.97,1.0
588,589,baby,n,67881.0,0.94,
589,590,computer,n,67399.0,0.95,
590,591,type,n,68481.0,0.93,
591,592,attention,n,65271.0,0.97,1.0
592,593,draw,v,65198.0,0.97,1.0
593,594,film,n,66724.0,0.95,1.0
594,595,Republican,n,71611.0,0.88,1.0
595,596,tree,n,66630.0,0.94,
596,597,source,n,66862.0,0.94,1.0
597,598,red,j,66217.0,0.94,
598,599,nearly,r,64860.0,0.96,
599,600,organization,n,67278.0,0.93,1.0
600,601,choose,v,64348.0,0.97,
601,602,cause,v,64531.0,0.97,1.0
602,603,hair,n,69564.0,0.89,
603,604,look,n,66194.0,0.94,
604,605,point,v,62980.0,0.98,
605,606,century,n,65667.0,0.94,1.0
606,607,evidence,n,65360.0,0.94,1.0
607,608,window,n,68303.0,0.9,
608,609,difficult,j,63947.0,0.96,
609,610,listen,v,64984.0,0.94,
610,611,soon,r,63168.0,0.96,
611,612,culture,n,67128.0,0.91,1.0
612,613,billion,m,65243.0,0.93,1.0
613,614,chance,n,62682.0,0.97,
614,615,brother,n,63406.0,0.95,
615,616,energy,n,64139.0,0.94,1.0
616,617,period,n,64534.0,0.93,1.0
617,618,course,n,64012.0,0.94,1.0
618,619,summer,n,62503.0,0.96,
619,620,less,d,62154.0,0.96,
620,621,realize,v,61732.0,0.97,1.0
621,622,hundred,m,61266.0,0.97,
622,623,available,j,63187.0,0.94,1.0
623,624,plant,n,63476.0,0.93,1.0
624,625,likely,j,63002.0,0.94,1.0
625,626,opportunity,n,62422.0,0.95,1.0
626,627,term,n,62962.0,0.94,1.0
627,628,short,j,60451.0,0.98,
628,629,letter,n,60369.0,0.98,
629,630,condition,n,63489.0,0.93,1.0
630,631,choice,n,60487.0,0.97,
631,632,place,v,60927.0,0.96,
632,633,single,j,60072.0,0.97,1.0
633,634,rule,n,61062.0,0.95,1.0
634,635,daughter,n,60424.0,0.96,
635,636,administration,n,62071.0,0.93,1.0
636,637,south,n,60630.0,0.96,
637,638,husband,n,60126.0,0.96,
638,639,Congress,n,62841.0,0.92,1.0
639,640,floor,n,62458.0,0.92,
640,641,campaign,n,64172.0,0.9,1.0
641,642,material,n,62440.0,0.92,1.0
642,643,population,n,62999.0,0.91,
643,644,well,i,61219.0,0.93,
644,645,call,n,59543.0,0.96,
645,646,economy,n,60990.0,0.93,1.0
646,647,medical,j,59424.0,0.96,1.0
647,648,hospital,n,58669.0,0.97,
648,649,church,n,59466.0,0.96,1.0
649,650,close,v,60884.0,0.93,
650,651,thousand,m,58307.0,0.97,
651,652,risk,n,60432.0,0.94,1.0
652,653,current,j,61252.0,0.92,1.0
653,654,fire,n,59386.0,0.95,
654,655,future,n,58020.0,0.97,
655,656,wrong,j,58988.0,0.95,
656,657,involve,v,59542.0,0.94,1.0
657,658,defense,n,59701.0,0.94,1.0
658,659,anyone,p,58274.0,0.96,
659,660,increase,v,60442.0,0.93,1.0
660,661,security,n,58914.0,0.95,1.0
661,662,bank,n,58992.0,0.94,
662,663,myself,p,59716.0,0.93,
663,664,certainly,r,59739.0,0.93,1.0
664,665,west,n,58169.0,0.95,1.0
665,666,sport,n,59006.0,0.94,1.0
666,667,board,n,58436.0,0.95,1.0
667,668,seek,v,58495.0,0.94,1.0
668,669,per,i,59432.0,0.93,1.0
669,670,subject,n,61397.0,0.9,1.0
670,671,officer,n,57617.0,0.96,1.0
671,672,private,j,57248.0,0.96,1.0
672,673,rest,n,56714.0,0.97,1.0
673,674,behavior,n,62625.0,0.88,1.0
674,675,deal,v,57462.0,0.96,1.0
675,676,performance,n,59909.0,0.92,1.0
676,677,fight,v,56886.0,0.96,1.0
677,678,throw,v,57784.0,0.95,1.0
678,679,top,n,57743.0,0.95,
679,680,quickly,r,56454.0,0.97,
680,681,past,j,56588.0,0.96,
681,682,goal,n,58728.0,0.93,1.0
682,683,second,n,56022.0,0.97,
683,684,bed,n,60304.0,0.9,
684,685,order,n,56483.0,0.96,
685,686,author,n,58300.0,0.93,1.0
686,687,fill,v,56915.0,0.95,1.0
687,688,represent,v,58744.0,0.92,1.0
688,689,focus,v,57177.0,0.94,1.0
689,690,foreign,j,57540.0,0.94,
690,691,drop,v,56448.0,0.95,1.0
691,692,plan,v,55829.0,0.96,
692,693,blood,n,56351.0,0.95,1.0
693,694,upon,i,57033.0,0.94,1.0
694,695,agency,n,56954.0,0.94,1.0
695,696,push,v,56103.0,0.95,
696,697,nature,n,57929.0,0.92,
697,698,color,n,56978.0,0.94,
698,699,no,r,54602.0,0.98,
699,700,recently,r,55992.0,0.95,1.0
700,701,store,n,56147.0,0.95,
701,702,reduce,v,57029.0,0.93,1.0
702,703,sound,n,56828.0,0.94,1.0
703,704,note,v,57025.0,0.93,
704,705,fine,j,55174.0,0.96,
705,706,before,r,55608.0,0.95,
706,707,near,i,54869.0,0.96,
707,708,movement,n,56201.0,0.94,1.0
708,709,page,n,55937.0,0.94,
709,710,enter,v,54479.0,0.96,
710,711,share,v,54010.0,0.97,1.0
711,712,than,i,55719.0,0.94,
712,713,common,j,55940.0,0.93,1.0
713,714,poor,j,53820.0,0.97,
714,715,other,p,54372.0,0.96,
715,716,natural,j,55526.0,0.94,1.0
716,717,race,n,54838.0,0.95,1.0
717,718,concern,n,55203.0,0.94,1.0
718,719,series,n,54549.0,0.95,1.0
719,720,significant,j,58947.0,0.88,1.0
720,721,similar,j,55901.0,0.92,1.0
721,722,hot,j,54601.0,0.95,
722,723,language,n,55799.0,0.92,
723,724,each,p,53663.0,0.96,
724,725,usually,r,53477.0,0.96,
725,726,response,n,56342.0,0.91,1.0
